Task Name,Department,Description,Assigned Role,Due Date,Priority,Dependencies,Task Status
Brainstorm Game Concept Ideas,Game Design,"Conduct creative brainstorming sessions to generate initial game concept, setting, and theme ideas.",Creative Director,2024-01-15,High,,Completed
Define Unique Selling Points (USPs) and Core Theme,Game Design,"Identify the game’s unique selling points and establish the core theme and genre as guiding pillars for development.",Lead Game Designer,2024-01-20,Critical,Brainstorm Game Concept Ideas,Completed
Create Initial Game Pitch Deck,Game Design,"Compile a pitch deck with the game overview, key features, early art mock-ups, and market analysis to pitch to stakeholders.",Executive Producer,2024-01-31,Critical,Define Unique Selling Points (USPs) and Core Theme,Completed
Present Game Concept to Stakeholders,Production,"Present the game concept and pitch deck to stakeholders/executives for greenlighting and initial feedback.",Executive Producer,2024-02-07,Critical,Create Initial Game Pitch Deck,Completed
Incorporate Stakeholder Feedback into Pitch,Game Design,"Refine the game concept and pitch deck based on feedback from the initial presentation to ensure buy-in.",Lead Game Designer,2024-02-14,High,Present Game Concept to Stakeholders,Completed
Outline Game Design Document (GDD) Structure,Game Design,"Create a structured outline for the Game Design Document, covering gameplay, story, characters, levels, and technical requirements.",Game Designer,2024-02-21,High,Incorporate Stakeholder Feedback into Pitch,Completed
Draft Core Gameplay Mechanics Section (GDD),Game Design,"Write the initial draft of core gameplay mechanics (combat, movement, progression systems) in the GDD.",Game Designer,2024-03-07,Critical,Outline Game Design Document (GDD) Structure,Completed
Write Storyline Overview and Setting (GDD),Game Design,"Draft the game’s story summary, world background, and setting details for inclusion in the GDD.",Narrative Designer,2024-03-07,High,Outline Game Design Document (GDD) Structure,Completed
Character Profiles and Bios (GDD),Game Design,"Create detailed profiles and backstories for main characters and notable NPCs for the GDD.",Narrative Designer,2024-03-14,Medium,Write Storyline Overview and Setting (GDD),Completed
Define Enemy Types and Behaviors (GDD),Game Design,"List various enemy types and outline their behaviors, attack styles, and roles in the game.",Game Designer,2024-03-14,Medium,Write Storyline Overview and Setting (GDD),Completed
Document Level Progression and Themes (GDD),Game Design,"Outline each game level or area, including its theme, objectives, and how it fits into overall progression.",Level Designer,2024-03-21,Medium,Outline Game Design Document (GDD) Structure,Completed
Gameplay Systems and Stats (GDD),Game Design,"Detail systems such as health, experience, loot, and difficulty scaling in the GDD.",Systems Designer,2024-03-21,Medium,Draft Core Gameplay Mechanics Section (GDD),Completed
Review GDD Draft with Department Leads,Production,"Circulate the draft GDD to leads in art, programming, audio, and QA for cross-discipline feedback.",Lead Game Designer,2024-04-01,Critical,Gameplay Systems and Stats (GDD),Completed
Revise and Finalize Game Design Document,Game Design,"Integrate feedback from all departments and publish the final version of the Game Design Document.",Lead Game Designer,2024-04-10,Critical,Review GDD Draft with Department Leads,Completed
Technical Requirements Analysis,Programming,"Analyze GDD to list technical requirements, engine capabilities needed, and potential development challenges.",Technical Director,2024-02-28,High,Present Game Concept to Stakeholders,Completed
Select Game Engine and Development Tools,Programming,"Evaluate and choose a game engine (e.g., Unreal Engine) and key development tools (source control, build systems).",Technical Director,2024-03-10,Critical,Technical Requirements Analysis,Completed
Set Up Development Environment,Programming,"Install and configure the game engine and development tools for the team, including version control setup.",IT Manager,2024-03-17,High,Select Game Engine and Development Tools,Completed
